Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa [Homo sapiens],Homo sapiens,2046,2046,100%,0.0,100.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_079285.2?report=genbank&log$=prottop&blast_rank=1&RID=4U0PF731016"",""NP_079285.2"")"
TPA: centrosome protein Cep135 [Homo sapiens],Homo sapiens,2044,2044,100%,0.0,99.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA05590.1?report=genbank&log$=prottop&blast_rank=2&RID=4U0PF731016"",""DAA05590.1"")"
centrosomal protein of 135 kDa isoform X1 [Pan troglodytes],Pan troglodytes,2034,2034,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807193.1?report=genbank&log$=prottop&blast_rank=3&RID=4U0PF731016"",""XP_016807193.1"")"
centrosomal protein of 135 kDa [Pan paniscus],Pan paniscus,2033,2033,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003806528.1?report=genbank&log$=prottop&blast_rank=4&RID=4U0PF731016"",""XP_003806528.1"")"
centrosomal protein of 135 kDa [Gorilla gorilla gorilla],Gorilla gorilla gorilla,2032,2032,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018881638.1?report=genbank&log$=prottop&blast_rank=5&RID=4U0PF731016"",""XP_018881638.1"")"
centrosomal protein of 135 kDa isoform X1 [Homo sapiens],Homo sapiens,2018,2018,100%,0.0,99.04,1129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006714118.1?report=genbank&log$=prottop&blast_rank=6&RID=4U0PF731016"",""XP_006714118.1"")"
centrosomal protein of 135 kDa isoform X2 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,2004,2004,98%,0.0,98.21,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047956.1?report=genbank&log$=prottop&blast_rank=7&RID=4U0PF731016"",""XP_023047956.1"")"
centrosomal protein of 135 kDa isoform X1 [Macaca nemestrina],Macaca nemestrina,2001,2001,100%,0.0,98.25,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011709008.1?report=genbank&log$=prottop&blast_rank=8&RID=4U0PF731016"",""XP_011709008.1"")"
centrosomal protein of 135 kDa [Rhinopithecus roxellana],Rhinopithecus roxellana,2001,2001,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010353537.1?report=genbank&log$=prottop&blast_rank=9&RID=4U0PF731016"",""XP_010353537.1"")"
PREDICTED: centrosomal protein of 135 kDa [Mandrillus leucophaeus],Mandrillus leucophaeus,2001,2001,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011847897.1?report=genbank&log$=prottop&blast_rank=10&RID=4U0PF731016"",""XP_011847897.1"")"
centrosomal protein of 135 kDa [Nomascus leucogenys],Nomascus leucogenys,2001,2001,98%,0.0,98.21,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003268443.1?report=genbank&log$=prottop&blast_rank=11&RID=4U0PF731016"",""XP_003268443.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Macaca fascicularis],Macaca fascicularis,2000,2000,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005555302.1?report=genbank&log$=prottop&blast_rank=12&RID=4U0PF731016"",""XP_005555302.1"")"
centrosomal protein of 135 kDa [Chlorocebus sabaeus],Chlorocebus sabaeus,2000,2000,98%,0.0,98.21,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007996841.2?report=genbank&log$=prottop&blast_rank=13&RID=4U0PF731016"",""XP_007996841.2"")"
centrosomal protein of 135 kDa [Theropithecus gelada],Theropithecus gelada,1999,1999,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025241370.1?report=genbank&log$=prottop&blast_rank=14&RID=4U0PF731016"",""XP_025241370.1"")"
PREDICTED: centrosomal protein of 135 kDa [Colobus angolensis palliatus],Colobus angolensis palliatus,1998,1998,100%,0.0,97.89,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011792677.1?report=genbank&log$=prottop&blast_rank=15&RID=4U0PF731016"",""XP_011792677.1"")"
centrosomal protein of 135 kDa isoform X1 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,1998,1998,98%,0.0,97.69,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047955.1?report=genbank&log$=prottop&blast_rank=16&RID=4U0PF731016"",""XP_023047955.1"")"
centrosomal protein of 135 kDa [Hylobates moloch],Hylobates moloch,1998,1998,98%,0.0,97.86,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032007349.1?report=genbank&log$=prottop&blast_rank=17&RID=4U0PF731016"",""XP_032007349.1"")"
centrosomal protein of 135 kDa isoform X2 [Trachypithecus francoisi],Trachypithecus francoisi,1996,1996,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070507.1?report=genbank&log$=prottop&blast_rank=18&RID=4U0PF731016"",""XP_033070507.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Cercocebus atys],Cercocebus atys,1994,1994,100%,0.0,97.81,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928886.1?report=genbank&log$=prottop&blast_rank=19&RID=4U0PF731016"",""XP_011928886.1"")"
centrosomal protein of 135 kDa isoform X2 [Pan troglodytes],Pan troglodytes,1990,1990,100%,0.0,97.89,1123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807194.1?report=genbank&log$=prottop&blast_rank=20&RID=4U0PF731016"",""XP_016807194.1"")"
centrosomal protein of 135 kDa isoform X1 [Trachypithecus francoisi],Trachypithecus francoisi,1989,1989,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070506.1?report=genbank&log$=prottop&blast_rank=21&RID=4U0PF731016"",""XP_033070506.1"")"
centrosomal protein of 135 kDa isoform X3 [Pan troglodytes],Pan troglodytes,1984,1984,100%,0.0,97.54,1118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807195.1?report=genbank&log$=prottop&blast_rank=22&RID=4U0PF731016"",""XP_016807195.1"")"
PREDICTED: centrosomal protein of 135 kDa [Rhinopithecus bieti],Rhinopithecus bieti,1982,1982,100%,0.0,97.28,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017704775.1?report=genbank&log$=prottop&blast_rank=23&RID=4U0PF731016"",""XP_017704775.1"")"
centrosomal protein of 135 kDa isoform X4 [Pan troglodytes],Pan troglodytes,1954,1954,100%,0.0,95.61,1097,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807196.1?report=genbank&log$=prottop&blast_rank=24&RID=4U0PF731016"",""XP_016807196.1"")"
centrosomal protein of 135 kDa [Saimiri boliviensis boliviensis],Saimiri boliviensis boliviensis,1945,1945,100%,0.0,96.23,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039324483.1?report=genbank&log$=prottop&blast_rank=25&RID=4U0PF731016"",""XP_039324483.1"")"
