Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Bos mutus],Bos mutus,1637,1637,98%,0.0,88.38,2744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MXQ88774.1?report=genbank&log$=prottop&blast_rank=1&RID=4U33DKUK013"",""MXQ88774.1"")"
Centrosomal protein of 135 kDa [Pteropus alecto],Pteropus alecto,1417,1417,100%,0.0,90.18,1166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELK03683.1?report=genbank&log$=prottop&blast_rank=2&RID=4U33DKUK013"",""ELK03683.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus vampyrus],Pteropus vampyrus,1411,1411,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011360921.1?report=genbank&log$=prottop&blast_rank=3&RID=4U33DKUK013"",""XP_011360921.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus giganteus],Pteropus giganteus,1408,1408,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039701198.1?report=genbank&log$=prottop&blast_rank=4&RID=4U33DKUK013"",""XP_039701198.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus alecto],Pteropus alecto,1406,1406,100%,0.0,90.18,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006922577.1?report=genbank&log$=prottop&blast_rank=5&RID=4U33DKUK013"",""XP_006922577.1"")"
PREDICTED: centrosomal protein of 135 kDa [Miniopterus natalensis],Miniopterus natalensis,1403,1403,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016062925.1?report=genbank&log$=prottop&blast_rank=6&RID=4U33DKUK013"",""XP_016062925.1"")"
centrosomal protein of 135 kDa isoform X1 [Macaca nemestrina],Macaca nemestrina,1403,1403,100%,0.0,98.25,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011709008.1?report=genbank&log$=prottop&blast_rank=7&RID=4U33DKUK013"",""XP_011709008.1"")"
PREDICTED: centrosomal protein of 135 kDa [Ursus maritimus],Ursus maritimus,1403,1403,100%,0.0,90.79,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008699712.1?report=genbank&log$=prottop&blast_rank=8&RID=4U33DKUK013"",""XP_008699712.1"")"
centrosomal protein of 135 kDa isoform X2 [Equus caballus],Equus caballus,1402,1402,98%,0.0,91.25,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493838.1?report=genbank&log$=prottop&blast_rank=9&RID=4U33DKUK013"",""XP_023493838.1"")"
PREDICTED: centrosomal protein of 135 kDa [Equus przewalskii],Equus przewalskii,1402,1402,98%,0.0,91.34,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008510991.1?report=genbank&log$=prottop&blast_rank=10&RID=4U33DKUK013"",""XP_008510991.1"")"
