Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa [Homo sapiens],Homo sapiens,2281,2281,100%,0.0,100.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_079285.2?report=genbank&log$=prottop&blast_rank=1&RID=4TYYNHNK01R"",""NP_079285.2"")"
TPA: centrosome protein Cep135 [Homo sapiens],Homo sapiens,2280,2280,100%,0.0,99.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA05590.1?report=genbank&log$=prottop&blast_rank=2&RID=4TYYNHNK01R"",""DAA05590.1"")"
centrosomal protein of 135 kDa isoform X1 [Pan troglodytes],Pan troglodytes,2270,2270,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807193.1?report=genbank&log$=prottop&blast_rank=3&RID=4TYYNHNK01R"",""XP_016807193.1"")"
centrosomal protein of 135 kDa [Pan paniscus],Pan paniscus,2268,2268,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003806528.1?report=genbank&log$=prottop&blast_rank=4&RID=4TYYNHNK01R"",""XP_003806528.1"")"
centrosomal protein of 135 kDa [Gorilla gorilla gorilla],Gorilla gorilla gorilla,2268,2268,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018881638.1?report=genbank&log$=prottop&blast_rank=5&RID=4TYYNHNK01R"",""XP_018881638.1"")"
centrosomal protein of 135 kDa isoform X1 [Homo sapiens],Homo sapiens,2252,2252,100%,0.0,99.04,1129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006714118.1?report=genbank&log$=prottop&blast_rank=6&RID=4TYYNHNK01R"",""XP_006714118.1"")"
centrosomal protein of 135 kDa isoform X1 [Macaca nemestrina],Macaca nemestrina,2240,2240,100%,0.0,98.25,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011709008.1?report=genbank&log$=prottop&blast_rank=7&RID=4TYYNHNK01R"",""XP_011709008.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Macaca fascicularis],Macaca fascicularis,2238,2238,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005555302.1?report=genbank&log$=prottop&blast_rank=8&RID=4TYYNHNK01R"",""XP_005555302.1"")"
PREDICTED: centrosomal protein of 135 kDa [Mandrillus leucophaeus],Mandrillus leucophaeus,2238,2238,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011847897.1?report=genbank&log$=prottop&blast_rank=9&RID=4TYYNHNK01R"",""XP_011847897.1"")"
centrosomal protein of 135 kDa isoform X2 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,2237,2237,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047956.1?report=genbank&log$=prottop&blast_rank=10&RID=4TYYNHNK01R"",""XP_023047956.1"")"
PREDICTED: centrosomal protein of 135 kDa [Colobus angolensis palliatus],Colobus angolensis palliatus,2237,2237,100%,0.0,97.89,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011792677.1?report=genbank&log$=prottop&blast_rank=11&RID=4TYYNHNK01R"",""XP_011792677.1"")"
centrosomal protein of 135 kDa [Rhinopithecus roxellana],Rhinopithecus roxellana,2236,2236,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010353537.1?report=genbank&log$=prottop&blast_rank=12&RID=4TYYNHNK01R"",""XP_010353537.1"")"
centrosomal protein of 135 kDa [Theropithecus gelada],Theropithecus gelada,2236,2236,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025241370.1?report=genbank&log$=prottop&blast_rank=13&RID=4TYYNHNK01R"",""XP_025241370.1"")"
centrosomal protein of 135 kDa [Nomascus leucogenys],Nomascus leucogenys,2233,2233,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003268443.1?report=genbank&log$=prottop&blast_rank=14&RID=4TYYNHNK01R"",""XP_003268443.1"")"
